time_s,time_h,radius_cm,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface
60,0.01666667,1.99576667,0.000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.005,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.010,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.015,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.020,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.025,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.030,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.035,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.040,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.045,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.050,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.055,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.060,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.065,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.070,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.075,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.080,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.085,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
60,0.01666667,1.99576667,0.090,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150000,301.150001,301.150004,301.150013,301.150040,301.150116,301.150325,301.150856,301.152109,301.154862,301.160631,301.171828,301.192157,,301.225281
