z_center_m,r_center_m,temperature_C,temperature_K,moisture_kg_kg
0.003085938,0.000310059,49.99591667,323.14591667,0.1499908408
0.003085938,0.000925293,49.99591667,323.14591667,0.1499213591
0.003085938,0.001530762,49.99591667,323.14591667,0.1497854820
0.003085938,0.002126465,49.99591667,323.14591667,0.1495860721
0.003085938,0.002712402,49.99591667,323.14591667,0.1493257924
0.003085938,0.003288574,49.99591667,323.14591667,0.1490071266
0.003085938,0.003854980,49.99591667,323.14591667,0.1486323960
0.003085938,0.004411621,49.99591667,323.14591667,0.1482037745
0.003085938,0.004958496,49.99591667,323.14591667,0.1477233013
0.003085938,0.005495605,49.99591667,323.14591667,0.1471928909
0.003085938,0.006022949,49.99591667,323.14591667,0.1466143436
0.003085938,0.006540527,49.99591667,323.14591667,0.1459893524
0.003085938,0.007048340,49.99591667,323.14591667,0.1453195105
0.003085938,0.007546387,49.99591667,323.14591667,0.1446063169
0.003085938,0.008034668,49.99591667,323.14591667,0.1438511819
0.003085938,0.008513184,49.99591667,323.14591667,0.1430554308
0.003085938,0.008981934,49.99591667,323.14591667,0.1422203082
0.003085938,0.009440918,49.99591667,323.14591667,0.1413469805
0.003085938,0.009890137,49.99591667,323.14591667,0.1404365390
0.003085938,0.010329590,49.99591667,323.14591667,0.1394900014
0.003085938,0.010759277,49.99591667,323.14591667,0.1385083133
0.003085938,0.011179199,49.99591667,323.14591667,0.1374923498
0.003085938,0.011589355,49.99591667,323.14591667,0.1364429157
0.003085938,0.011989746,49.99591667,323.14591667,0.1353607455
0.003085938,0.012380371,49.99591667,323.14591667,0.1342465037
0.003085938,0.012761230,49.99591667,323.14591667,0.1331007836
0.003085938,0.013132324,49.99591667,323.14591667,0.1319241061
0.003085938,0.013493652,49.99591667,323.14591667,0.1307169182
0.003085938,0.013845215,49.99591667,323.14591667,0.1294795904
0.003085938,0.014187012,49.99591667,323.14591667,0.1282124141
0.003085938,0.014519043,49.99591667,323.14591667,0.1269155978
0.003085938,0.014841309,49.99591667,323.14591667,0.1255892626
0.003085938,0.015153809,49.99591667,323.14591667,0.1242334371
0.003085938,0.015456543,49.99591667,323.14591667,0.1228480511
0.003085938,0.015749512,49.99591667,323.14591667,0.1214329280
0.003085938,0.016032715,49.99591667,323.14591667,0.1199877759
0.003085938,0.016306152,49.99591667,323.14591667,0.1185121769
0.003085938,0.016569824,49.99591667,323.14591667,0.1170055750
0.003085938,0.016823730,49.99591667,323.14591667,0.1154672605
0.003085938,0.017067871,49.99591667,323.14591667,0.1138963526
0.003085938,0.017302246,49.99591667,323.14591667,0.1122917778
0.003085938,0.017526855,49.99591667,323.14591667,0.1106522437
0.003085938,0.017741699,49.99591667,323.14591667,0.1089762085
0.003085938,0.017946777,49.99591667,323.14591667,0.1072618417
0.003085938,0.018142090,49.99591667,323.14591667,0.1055069779
0.003085938,0.018327637,49.99591667,323.14591667,0.1037090580
0.003085938,0.018503418,49.99591667,323.14591667,0.1018650563
0.003085938,0.018669434,49.99591667,323.14591667,0.0999713884
0.003085938,0.018825684,49.99591667,323.14591667,0.0980237932
0.003085938,0.018972168,49.99591667,323.14591667,0.0960171799
0.003085938,0.019108887,49.99591667,323.14591667,0.0939454275
0.003085938,0.019235840,49.99591667,323.14591667,0.0918011172
0.003085938,0.019353027,49.99591667,323.14591667,0.0895751692
0.003085938,0.019460449,49.99591667,323.14591667,0.0872563403
0.003085938,0.019558105,49.99591667,323.14591667,0.0848305143
0.003085938,0.019645996,49.99591667,323.14591667,0.0822796770
0.003085938,0.019724121,49.99591667,323.14591667,0.0795804017
0.003085938,0.019792480,49.99591667,323.14591667,0.0767015657
0.003085938,0.019851074,49.99591667,323.14591667,0.0736008880
0.003085938,0.019899902,49.99591667,323.14591667,0.0702199131
0.003085938,0.019938965,49.99591667,323.14591667,0.0664787670
0.003085938,0.019968262,49.99591667,323.14591667,0.0622865302
0.003085938,0.019987793,49.99591667,323.14591667,0.0577030413
0.003085938,0.019997559,49.99591667,323.14591667,0.0539943743
0.009179688,0.000310059,49.99591667,323.14591667,0.1499900003
0.009179688,0.000925293,49.99591667,323.14591667,0.1499205195
0.009179688,0.001530762,49.99591667,323.14591667,0.1497846443
0.009179688,0.002126465,49.99591667,323.14591667,0.1495852371
0.009179688,0.002712402,49.99591667,323.14591667,0.1493249609
0.009179688,0.003288574,49.99591667,323.14591667,0.1490062993
0.009179688,0.003854980,49.99591667,323.14591667,0.1486315737
0.009179688,0.004411621,49.99591667,323.14591667,0.1482029580
0.009179688,0.004958496,49.99591667,323.14591667,0.1477224910
0.009179688,0.005495605,49.99591667,323.14591667,0.1471920876
0.009179688,0.006022949,49.99591667,323.14591667,0.1466135477
0.009179688,0.006540527,49.99591667,323.14591667,0.1459885645
0.009179688,0.007048340,49.99591667,323.14591667,0.1453187311
0.009179688,0.007546387,49.99591667,323.14591667,0.1446055465
0.009179688,0.008034668,49.99591667,323.14591667,0.1438504208
0.009179688,0.008513184,49.99591667,323.14591667,0.1430546795
0.009179688,0.008981934,49.99591667,323.14591667,0.1422195670
0.009179688,0.009440918,49.99591667,323.14591667,0.1413462499
0.009179688,0.009890137,49.99591667,323.14591667,0.1404358191
0.009179688,0.010329590,49.99591667,323.14591667,0.1394892925
0.009179688,0.010759277,49.99591667,323.14591667,0.1385076157
0.009179688,0.011179199,49.99591667,323.14591667,0.1374916637
0.009179688,0.011589355,49.99591667,323.14591667,0.1364422412
0.009179688,0.011989746,49.99591667,323.14591667,0.1353600829
0.009179688,0.012380371,49.99591667,323.14591667,0.1342458532
0.009179688,0.012761230,49.99591667,323.14591667,0.1331001452
0.009179688,0.013132324,49.99591667,323.14591667,0.1319234799
0.009179688,0.013493652,49.99591667,323.14591667,0.1307163043
0.009179688,0.013845215,49.99591667,323.14591667,0.1294789890
0.009179688,0.014187012,49.99591667,323.14591667,0.1282118253
0.009179688,0.014519043,49.99591667,323.14591667,0.1269150215
0.009179688,0.014841309,49.99591667,323.14591667,0.1255886989
0.009179688,0.015153809,49.99591667,323.14591667,0.1242328861
0.009179688,0.015456543,49.99591667,323.14591667,0.1228475128
0.009179688,0.015749512,49.99591667,323.14591667,0.1214324024
0.009179688,0.016032715,49.99591667,323.14591667,0.1199872629
0.009179688,0.016306152,49.99591667,323.14591667,0.1185116767
0.009179688,0.016569824,49.99591667,323.14591667,0.1170050875
0.009179688,0.016823730,49.99591667,323.14591667,0.1154667858
0.009179688,0.017067871,49.99591667,323.14591667,0.1138958906
0.009179688,0.017302246,49.99591667,323.14591667,0.1122913285
0.009179688,0.017526855,49.99591667,323.14591667,0.1106518072
0.009179688,0.017741699,49.99591667,323.14591667,0.1089757847
0.009179688,0.017946777,49.99591667,323.14591667,0.1072614307
0.009179688,0.018142090,49.99591667,323.14591667,0.1055065797
0.009179688,0.018327637,49.99591667,323.14591667,0.1037086726
0.009179688,0.018503418,49.99591667,323.14591667,0.1018646838
0.009179688,0.018669434,49.99591667,323.14591667,0.0999710289
0.009179688,0.018825684,49.99591667,323.14591667,0.0980234467
0.009179688,0.018972168,49.99591667,323.14591667,0.0960168465
0.009179688,0.019108887,49.99591667,323.14591667,0.0939451074
0.009179688,0.019235840,49.99591667,323.14591667,0.0918008105
0.009179688,0.019353027,49.99591667,323.14591667,0.0895748762
0.009179688,0.019460449,49.99591667,323.14591667,0.0872560612
0.009179688,0.019558105,49.99591667,323.14591667,0.0848302495
