time_s,temperature_c,moisture_kg_kg
0,28,0.019630000000000002
60,28.527999999999999,0.02002
120,29.192,0.02053
180,29.684000000000001,0.021000000000000001
240,30.036999999999999,0.021510000000000001
300,30.834,0.021909999999999999
360,31.292999999999999,0.022329999999999999
420,31.82,0.022780000000000002
480,32.121000000000002,0.02325
540,32.729999999999997,0.023769999999999999
600,33.201999999999998,0.024279999999999999
660,33.878999999999998,0.024649999999999998
720,34.268000000000001,0.025059999999999999
780,34.805999999999997,0.025520000000000001
840,35.142000000000003,0.026120000000000001
900,35.524000000000001,0.026599999999999999
960,36.091000000000001,0.026870000000000002
1020,36.353999999999999,0.027320000000000001
1080,37.067,0.02793
1140,37.418999999999997,0.02826
1200,37.881999999999998,0.028910000000000002
1260,38.134,0.02921
1320,38.767000000000003,0.029610000000000001
1380,39.125,0.030290000000000001
1440,39.457999999999998,0.030509999999999999
1500,39.594999999999999,0.030980000000000001
1560,40.061,0.031370000000000002
1620,40.238,0.031789999999999999
1680,40.621000000000002,0.032190000000000003
1740,41.165999999999997,0.032620000000000003
1800,41.512999999999998,0.033070000000000002
