time_s,is_observation,observed_temperature_C,temperature_linear_C,temperature_pchip_C,temperature_stretched_C,temperature_pchip_minus_linear_C,temperature_stretched_minus_linear_C,observed_moisture_kg_kg,moisture_linear_kg_kg,moisture_pchip_kg_kg,moisture_stretched_kg_kg,moisture_pchip_minus_linear_kg_kg,moisture_stretched_minus_linear_kg_kg
0,1,28.0,28.0,28.0,28.0,0.0,0.0,0.01963,0.01963,0.01963,0.01963,0.0,0.0
1,0,,28.0088,28.007687674745213,28.00961492955402,-0.0011123252547875495,0.0008149295540178514,,0.0196365,0.019635518851851854,0.019637820088179953,-9.811481481471207e-07,1.3200881799520225e-06
2,0,,28.0176,28.015417221973653,28.019227095457744,-0.0021827780263485863,0.0016270954577422003,,0.019643,0.01964107525925926,0.01964563977115497,-1.9247407407399497e-06,2.6397711549684677e-06
3,0,,28.0264,28.023188426174496,28.028836498505537,-0.003211573825502967,0.002436498505538509,,0.0196495,0.019646669000000002,0.019653459048946047,-2.8309999999982793e-06,3.9590489460464284e-06
4,0,,28.0352,28.031001071836936,28.03844313949154,-0.004198928163063442,0.0032431394915413136,,0.019656,0.019652299851851858,0.01966127792157418,-3.700148148141902e-06,5.277921574179528e-06
5,0,,28.044,28.038854943450165,28.04804701920966,-0.005145056549835658,0.004047019209657776,,0.019662500000000003,0.01965796759259259,0.019669096389060364,-4.532407407411426e-06,6.596389060361391e-06
6,0,,28.0528,28.046749825503355,28.05764813845357,-0.0060501744966465765,0.004848138453567685,,0.019669000000000002,0.019663672,0.01967691445142559,-5.328000000002359e-06,7.914451425589109e-06
7,0,,28.0616,28.054685502485707,28.06724649801673,-0.006914497514291185,0.005646498016730561,,0.019675500000000002,0.019669412851851854,0.019684732108690855,-6.087148148148369e-06,9.232108690852836e-06
8,0,,28.0704,28.062661758886403,28.07684209869236,-0.007738241113596445,0.006442098692360787,,0.019682,0.019675189925925925,0.01969254936087714,-6.810074074076189e-06,1.0549360877139258e-05
9,0,,28.0792,28.07067837919463,28.08643494127346,-0.008521620805371555,0.007234941273459583,,0.0196885,0.019681003000000002,0.019700366208005447,-7.496999999998671e-06,1.1866208005445467e-05
